Jugador,Salario
DeMar DeRozan,27739975
LaMarcus Aldridge,16750000
Rudy Gay,14500000
Dejounte Murray,14286000
Patty Mills,13535714
Jakob Poeltl,8101852
DeMarre Carroll,6119676
Trey Lyles,5500000
Devin Vassell,4033440
Derrick White,3516284
Lonnie Walker,2892000
Luka Šamanić,2824320
Keldon Johnson,2048040
Marquese Chriss,1824003
Drew Eubanks,1620564
DaQuan Jeffries,1445697
Gorgui Dieng,1000000
Tre Jones,898310
Cameron Reynolds,110998
Quinndary Weatherspoon,0
Keita Bates-Diop,0
John Wall,40866760
Eric Gordon,16869276
Christian Wood,13015874
Kelly Olynyk,12819649
Dante Exum,9600000
D.J. Augustin,6666667
Avery Bradley,5635000
D.J. Wilson,4548280
Danuel House,3717000
Ben McLemore,2283034
David Nwaba,1824003
Kevin Porter,1717981
Sterling Brown,1620564
DeMarcus Cousins,1620564
Chris Clemons,1517981
Jae'Sean Tate,1445967
Kenyon Martin,898310
Bruno Caboclo,361256
Khyri Thomas,360998
Troy Williams,122741
Mason Jones,61528
Jerian Grant,50000
Cameron Oliver,43070
Cameron Reynolds,33299
Justin Patton,0
Anthony Lamb,0
Armoni Brooks,0
Damian Lillard,31626953
CJ McCollum,29354152
Jusuf Nurkić,12888889
Robert Covington,12138345
Norman Powell,10865952
Derrick Jones,9258000
Zach Collins,5406255
Enes Freedom,5005350
Andrew Nicholson,2844430
Anfernee Simons,2252040
Nassir Little,2210640
Anderson Varejão,1913345
Carmelo Anthony,1620564
Harry Giles,1620564
CJ Elleby,898310
Rondae Hollis-Jefferson,432891
T.J. Leaf,0
Keljin Blevins,0
Mike Conley,34504132
Rudy Gobert,27525281
Bojan Bogdanović,17661000
Jordan Clarkson,11500000
Joe Ingles,10863637
Derrick Favors,9258000
Royce O'Neale,8500000
Donovan Mitchell,5195501
Udoka Azubuike,1977000
Georges Niang,1783557
Matt Thomas,1517981
Miye Oni,1517981
Juwan Morgan,1517981
Elijah Hughes,898310
Shaquille Harrison,770433
Ersan İlyasova,754783
Trent Forrest,0
Jarrell Brantley,0
Kristaps Porziņģis,29467800
Tim Hardaway,18975000
J.J. Redick,13013700
Dwight Powell,11080125
Josh Richardson,10865952
Maxi Kleber,8325000
Luka Dončić,8049360
Willie Cauley-Stein,4100000
Dorian Finney-Smith,4000000
Nicolò Melli,3897436
Boban Marjanović,3500000
Trey Burke,3000000
Josh Green,2816760
Jalen Brunson,1663861
J.J. Barea,1620564
Tyrell Terry,1289846
Nate Hinton,0
Tyler Bey,0
Steven Adams,29592695
Brandon Ingram,27285000
Eric Bledsoe,16875000
James Johnson,16047100
Lonzo Ball,11003782
Zion Williamson,10245480
Jaxson Hayes,5105160
Kira Lewis,3640200
Josh Hart,3491159
Nickeil Alexander-Walker,3113160
Wes Iwundu,1678854
Willy Hernangómez,1620564
Wenyen Gabriel,1620564
Sindarius Thornwell,943480
Marcos Louzada Silva,123056
Naji Marshall,120000
Isaiah Thomas,110998
Will Magnay,0
James Nunnally,0
Al Horford,27500000
Meyers Leonard,9400000
Darius Miller,7000000
Justin Jackson,5029650
T.J. Leaf,4326825
Shai Gilgeous-Alexander,4141320
Gabriel Deck,3870370
Tony Bradley,3542060
Austin Rivers,3500000
Aleksej Pokusevski,2964840
Darius Bazley,2399160
Ty Jerome,2303040
Mike Muscala,2283034
